10 years,20 years,30 years,40 years,50 years,91 years
6.40477478281212,6.35763798529837,6.22817534237341,6.28053314128734,6.34400249756732,6.11018149561614
6.78998799198122,7.0084520224051,6.71423580742376,6.92868237438989,6.89190432300586,6.55664772225189
7.35048897719016,7.33141038296586,7.21410189530999,7.25492140458841,7.33052489599252,7.09014271393465
6.52563304099801,6.34482708740409,6.28011485302985,6.26755792272283,6.38920327263678,6.15590270797007
6.13570175628789,6.29974741416558,6.10146823552333,6.20047598791077,6.20856749548532,5.94674303960732
7.29374676363405,7.3640312220307,7.23402857589923,7.28884602455162,7.31970098212586,7.11887875935563
6.77802562062312,6.64008410806754,6.59916951756104,6.55239857765727,6.68994343073018,6.45780454871373
7.55469114659875,7.57345784689592,7.56087317271093,7.5041702823836,7.56615400874645,7.45148781772014
7.43571350862007,7.56367472347481,7.47357897176751,7.52346781474056,7.53310952944043,7.38121128232498
7.64683167180092,7.83367775668544,7.73482816854465,7.76208762716187,7.75619167241069,7.59692040534083
6.28899391746974,6.44563613182329,6.31452811913306,6.37518262053149,6.4106901853367,6.19399675418763
6.88101415417222,6.98491261577224,6.87701300025825,6.93743982088975,7.00984558516543,6.78113096838996
6.40084030525855,6.56285439181803,6.47437323091885,6.4969136812045,6.52001517204387,6.36563792435816
7.60447870030545,7.71255883347169,7.61497690993753,7.69148053134548,7.69736033447588,7.53598608084465
6.54098060981199,6.70230037875187,6.59227986204687,6.5965130852582,6.59251476966104,6.43629465614183
7.97194563883014,8.02230067422779,7.91698277420046,7.99967903860171,8.07825715097884,7.83869533473058
8.44449808364739,8.51487055543753,8.4878266021445,8.48479799240269,8.5164173304884,8.40813175215403
5.52093904876287,5.95259659016028,5.74109603804964,5.82403857790112,5.72267599957632,5.56917256870324
7.3225763484177,7.39107543527009,7.31908711560931,7.34811969605106,7.39128712402357,7.2287328348253
6.10942041210662,6.31884207544999,6.1315335260829,6.25498014894166,6.27479198783966,6.00400369839738
7.36123370780517,7.57615209846941,7.43911529670929,7.51707058670138,7.51344018229904,7.30943059402004
7.36939235216764,7.47665784660972,7.40075691856169,7.41734259773827,7.46066086676252,7.30018175716405
7.04248801711447,6.99957096339368,6.95817449133405,6.94141705816644,7.04500646855672,6.84775909875094
7.75226918370206,7.72417235797328,7.53976498542089,7.68099295028963,7.76073802678712,7.42401665937567
6.81099754843995,6.89890202128437,6.83533364822061,6.86812217629193,6.88835860737311,6.75365339233351
7.49366398804338,7.58798857967111,7.52669781616266,7.52679906596507,7.56411775421785,7.42226851119175
7.26127540859845,7.49054079268863,7.36240148234068,7.41177021835217,7.38572777751804,7.19512278202558
6.47594381699019,6.72407334089819,6.61338411159692,6.66779244790305,6.62739504230734,6.48143427534784
6.83900774957195,6.91827179199017,6.88293496598561,6.86770047279133,6.89428676116221,6.77011905935501
6.84412430542352,6.98084128118651,6.93645656173689,6.89750544484559,6.90928786697695,6.83472097198658
7.65534688205709,7.75976319588464,7.64419738084054,7.71520036228361,7.7547200596095,7.55859730243705
7.02577678263771,7.24022474806919,7.12529069803107,7.18070559763703,7.17016016761553,7.01074328720874
8.20014771605318,8.17532970983379,8.16945735419746,8.12289627830261,8.22112936988438,8.07820638588182
7.61058582593825,7.7910648305145,7.75155795156824,7.71551917455924,7.72853043987152,7.64607199990882
7.21720902617409,7.5161605964479,7.39259346859502,7.43188978023488,7.38011956906411,7.25299492004401
7.72397125493304,7.80222125304844,7.7769096914525,7.75503276767329,7.792536264042,7.70149706704183
7.08033468058545,7.19319041381591,7.17110052622357,7.13855535581808,7.16960591158572,7.08362697378801
7.75361699404726,7.96112442018786,7.89877123838745,7.9021753187845,7.89733633325862,7.78079340374208
6.70314775590632,6.80804195077298,6.73951081664165,6.76790787453208,6.79643258369745,6.65990925728771
7.07165594285586,7.14487063889441,7.09804799434381,7.08965372867863,7.14967999584998,7.00718755329659
6.40695120791685,6.49924665068204,6.4268775968891,6.43420116325464,6.49554403123871,6.32511713983951
7.96341496073932,8.07646865417001,8.0179744220799,8.02342848953523,8.02402163076647,7.93709523915285
7.4572954000437,7.51327760453498,7.4416915513941,7.47358279561494,7.54193344470558,7.37263031871806
7.61256835584514,7.81113988081435,7.739398563901,7.77461138800431,7.74710846799534,7.6509245760926
7.55117919453658,7.7684648398156,7.72663301598871,7.69444870494224,7.67928943604262,7.60463651109838
7.66551724008435,7.77338255617172,7.67110126140958,7.73588207714407,7.72855918035865,7.59771154138161
7.76966217418177,7.94187198320531,7.88182476250309,7.8421979683576,7.84722821268537,7.75539637177802
7.5597481038862,7.71175936898906,7.61654607842852,7.64579904700613,7.64284351564267,7.5094511724002
7.59553482442249,7.83790952565169,7.70733426078402,7.76158862090359,7.73035043590697,7.600241211374
7.47153268026498,7.59437892674573,7.51605614820544,7.55636165797234,7.55240754045247,7.43210384105699
5.94444197740586,6.12578569229437,5.95475028782415,6.07582622208631,6.06726089730561,5.86082172404258
6.58504901154132,6.86794709943737,6.69802618539116,6.8077441325382,6.7132505957255,6.60021331497968
7.56471632668024,7.73327151071325,7.62837652177496,7.67216060607524,7.66518743916287,7.53601472264074
7.35699319971198,7.64204708342582,7.43135536132571,7.60918863512746,7.52817902999391,7.3167878822252
7.55273908177922,7.82156867031045,7.65657720430218,7.7786230675873,7.69416493413057,7.53720864104124
7.72698617416745,7.83355498177405,7.80129938985706,7.80168975496184,7.81152679064377,7.71108161054479
6.7883907232785,6.94166447213486,6.7991162542518,6.90813284092199,6.86629635057161,6.70498050944121
7.70190441513788,7.71891768634195,7.66974238039152,7.71406185504448,7.77687868799066,7.61677815873102
8.01817775109618,8.04022859557128,7.95520515908973,7.996983713175,8.07028650484259,7.86588452336019
7.08438086419626,7.21544494306948,7.10406489641674,7.17115970366843,7.17549297602746,7.02455462554496
8.31440583975462,8.16614146163052,8.16501132897669,8.15426061172543,8.27091241707814,8.11188213978375
7.13357449957345,7.05095166397725,7.00739898057225,7.03782224541077,7.14365289061272,6.99265172581469
6.89970082780503,6.98609334204826,6.93613971105679,6.95267544470983,6.98967758873912,6.86826894954408
7.81711153539996,7.9379473833093,7.76786414221533,7.90972318919433,7.95724187636165,7.68223423036066
5.8480421229522,6.05014347218647,5.92883095414996,6.00458001332688,6.0040941978305,5.85079156902835
6.2740221721575,6.557030815337,6.44189531308916,6.49826723517912,6.4537757112903,6.27245081067758
7.02974430764083,7.18160830938908,7.08627395416732,7.18891501072124,7.17067211736116,7.01623831585877
6.33050203088731,6.3683031046516,6.29110073761296,6.32288392652872,6.40704616972573,6.20770512332912
6.86819838926387,6.87455397435206,6.81830703774371,6.84173505313434,6.93818772238201,6.76612571056274
7.77616328654319,8.01891279986888,7.90736428846552,7.95036800598163,7.93752427757841,7.82286073910019
7.44507815107238,7.41219747878045,7.47085388063323,7.32570722882772,7.44688598066783,7.41536245995412
5.54981507474599,5.76847181298772,5.61142042029512,5.6668569022901,5.62236378839908,5.53034750515536
7.47110850059053,7.65622913058166,7.62427184886249,7.53667170363356,7.55762519573259,7.55428581391319
6.77810384233809,7.13594265336017,7.08690275052016,6.92779033024844,6.9004983065786,6.96050411463717
8.38109476317987,8.50645303141952,8.33666176203898,8.3814691021325,8.41882009925979,8.27507241108497
7.31831841422735,7.39623908913033,7.42738739701791,7.39576094953506,7.40838610429316,7.37970999965404
7.29507296719191,7.32984043989989,7.34493583960241,7.35560629775298,7.3710801880705,7.36531651593971
7.66914288829337,7.68830979264986,7.6686517184714,7.68819569185974,7.70089044186634,7.64765026426595
5.86796675447915,6.16089484690005,6.01747144356511,6.13697147306202,6.0076428093742,5.96762415010975
7.54994321786996,7.80969548885878,7.72301845499974,7.80414467422583,7.70558013676181,7.67104124791821
7.19729018750963,7.33381231586987,7.1915346266041,7.41915710293667,7.32068115833579,7.18381278655613
6.30666917283321,6.58646898151849,6.37601258974782,6.55195577466769,6.45479158580856,6.36783619554824
7.82522798117941,8.25538397055196,8.05388665893606,8.26145906433261,8.0837632415322,7.9925332556489
7.0984593450213,7.74900189023929,7.77948744595013,7.43221532891305,7.34630897717062,7.48984147628373
6.56602635636325,6.98029487460882,7.01629504865762,6.88064977667614,6.79305475872794,6.83705922572183
6.2529417903443,6.76588772017434,6.8726029701622,6.56523416889004,6.45393010310674,6.59548976878432
6.0180817523808,6.62570561425768,6.56588235706925,6.42412103889568,6.31132181447794,6.3530784237613
8.17146100161567,8.58677052916894,8.53398166027076,8.50525899594614,8.46295470764055,8.43681640310232
7.02975049422077,7.37106087914948,7.33815377809717,7.25934884522926,7.21206613268882,7.2386583410083
7.69706719180327,7.87839230863322,7.79299767326031,7.82878592199467,7.82592985813218,7.72899853720767
7.00244949634442,7.13530627567508,7.14769240931517,7.01367966101706,7.06218950248812,7.02800122021095
6.96348503702406,6.95130491182817,6.95501701573657,6.86767113259975,6.93728134002605,6.87341747801107
7.27338081632824,7.50622191714007,7.44277820965651,7.38105357580389,7.35164679151723,7.31164093205807
7.88901551135169,7.79384822697916,7.85040574374352,7.74756025591199,7.84245512864285,7.82637750675435
7.39955532855426,7.69983199011574,7.63423606785168,7.54712614685741,7.55435009150044,7.48910385578146
7.1551569959137,7.23597165857689,7.13681692409991,7.19995738175516,7.21756526812439,7.08179044972863
7.12838065473909,7.24135986713784,7.19569558222738,7.1342937622932,7.1574320297712,7.09801700475581
7.45319514393496,7.58886821663802,7.46396775659578,7.48940601023364,7.52701410985546,7.40379975447635
6.68999567547116,6.805241547572,6.69312607991825,6.7255745287462,6.78012805492773,6.61529050575063
6.54717463276401,6.60826595958723,6.54651315290647,6.58529355265292,6.61225813132986,6.45196692290737
6.71197212668658,6.73249004600898,6.74506133117266,6.67910323417506,6.71535674153582,6.69668558475921
5.79069667959258,5.98645957530069,5.87626333726616,5.91150594867073,5.8901111966043,5.82516894831117
7.424819328145,7.55185902416525,7.46150423039835,7.52106435476314,7.51174551830093,7.44558448375397
6.43834634765459,6.56518282319308,6.37443216716873,6.51312552974452,6.54581842045881,6.27249385780214
7.4711648344251,7.74815632348945,7.67626337713347,7.70025568856337,7.64042281892014,7.64570162205696
7.43645420209427,7.47112313039249,7.34360875140546,7.45287109810759,7.48649295015628,7.30373150771082
7.91936301834901,7.79711955878402,7.64060853703463,7.76686329767839,7.89006030812751,7.57736474108414
7.3091539383225,7.41495530601458,7.2173317880296,7.38417130321587,7.37739651050158,7.13345177130895
5.98749112837307,6.11918791590989,6.04857934554314,6.04286242128423,6.05656170137848,5.99066877586962
7.47498117329263,7.63434819424402,7.54167763467794,7.5777370192862,7.57387937661466,7.47391736349396
7.6314131640505,7.64733977235416,7.5503683064673,7.66045296638214,7.68368983575591,7.5388667758043
6.84133041312588,7.16348979189331,6.89494656623491,7.13355661202689,7.0432248616292,6.81833507375781
7.86070180412651,7.71609924562327,7.67326366084948,7.68906971072164,7.82607742824058,7.65516730678046
6.46975754448773,6.65454059870448,6.49933616353585,6.57126254186934,6.55679638311096,6.42285252485124
